# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       5.264729452353e-02      -6.352842490024e-01      -5.890116143803e+01      -8.852472031139e+01      -6.349391537419e-01      -8.154111228449e+01       1.587347884355e-01       1.587347884355e-01      -2.452253596072e-05       1.008051176798e-01       1.060856278445e-01      -2.396279194748e-05       1.012616370563e-01 
       5.667735402054e-02      -5.974119801850e-01      -6.720723685418e+01      -9.587453224070e+01      -5.970845612650e-01      -8.882170864083e+01       1.492711403163e-01       1.492711403163e-01      -2.294889190062e-05       1.108440002344e-01       1.154535619838e-01      -2.241348650773e-05       1.103729710926e-01 
       6.027533618215e-02      -5.681364758079e-01      -7.523274154757e+01      -1.025380981985e+02      -5.678228542459e-01      -9.549703424044e+01       1.419557135615e-01       1.419557135615e-01      -2.173585080998e-05       1.200805455682e-01       1.240334547785e-01      -2.121967525971e-05       1.187241125946e-01 
       6.363090491853e-02      -5.432233580019e-01      -8.271435746966e+01      -1.087593848537e+02      -5.429219149994e-01      -1.017276848688e+02       1.357304787499e-01       1.357304787499e-01      -2.072885012497e-05       1.286256438825e-01       1.320521506917e-01      -2.023040197585e-05       1.265160228742e-01 
       6.684441534581e-02      -5.205723415599e-01      -8.939906043464e+01      -1.146335678368e+02      -5.202825357065e-01      -1.075537166677e+02       1.300706339266e-01       1.300706339266e-01      -1.984352563822e-05       1.364654713425e-01       1.395738040492e-01      -1.936295494115e-05       1.337988133833e-01 
       6.997602752001e-02      -4.990394852135e-01      -9.506250126867e+01      -1.201921828265e+02      -4.987613217305e-01      -1.129672774325e+02       1.246903304326e-01       1.246903304326e-01      -1.903217565024e-05       1.435435747442e-01       1.465968493815e-01      -1.857040723964e-05       1.405628117239e-01 
       7.306525165051e-02      -4.779970715748e-01      -9.953009431483e+01      -1.254394143283e+02      -4.777308075565e-01      -1.179455531597e+02       1.194327018891e-01       1.194327018891e-01      -1.826642491262e-05       1.498026485678e-01       1.530970975262e-01      -1.782465886248e-05       1.467798220303e-01 
       7.613992935590e-02      -4.571375317174e-01      -1.026984038720e+02      -1.303713385777e+02      -4.568834864565e-01      -1.224697728369e+02       1.142208716141e-01       1.142208716141e-01      -1.752822648789e-05       1.552107721041e-01       1.590520374452e-01      -1.710760686843e-05       1.524267903001e-01 
       7.922083021269e-02      -4.363758205612e-01      -1.045560430921e+02      -1.349884328893e+02      -4.361342424367e-01      -1.265386150073e+02       1.090335606092e-01       1.090335606092e-01      -1.680893743079e-05       1.597802618857e-01       1.644581651020e-01      -1.641031809633e-05       1.575027005860e-01 
       8.232420556971e-02      -4.157823131912e-01      -1.051999146203e+02      -1.393042752406e+02      -4.155532819652e-01      -1.301777877526e+02       1.038883204913e-01       1.038883204913e-01      -1.610044689964e-05       1.635828507164e-01       1.693421999966e-01      -1.572421323104e-05       1.620399546651e-01 
